foot,step_id,surface,contact_time_sec,stance_duration,time_to_peak_frac,impact_mag,impact_mag_norm,accel_mag_strike,loading_rate,loading_rate_norm,heel_pmax_ratio,fore_pmax_ratio,heel_mean_ratio,fore_mean_ratio,heel_fore_ratio,total_pmax,total_p_mean,midstance_diff,heel_impulse,heel_impulse_norm,rise_slope,fall_slope,slope_asym,heel_skew,heel_kurt,gyro_mag_strike,gyro_x_strike,gyro_y_strike,gyro_z_strike,gyro_x_std,gyro_y_std,gyro_z_std,orient_range_a,orient_range_b,pressure_entropy_flatfoot,pressure_entropy_stance,pressure_participation_flatfoot,pressure_map_instability,tilt_jitter_flatfoot,tilt_reversal_rate_flatfoot,accel_micro_cv_flatfoot,pressure_01_mean_ratio,pressure_02_mean_ratio,pressure_03_mean_ratio,pressure_04_mean_ratio,pressure_05_mean_ratio,pressure_06_mean_ratio,pressure_07_mean_ratio,pressure_08_mean_ratio,pressure_09_mean_ratio,pressure_10_mean_ratio,pressure_11_mean_ratio,pressure_12_mean_ratio,accel_spec_centroid,accel_hf_frac,accel_spec_entropy,accel_zcr,accel_jerk_ratio,gyro_hf_frac,heel_ripple_frac,impact_mag_roll3_std,loading_rate_roll3_std,stance_duration_roll3_std,orient_rest_a_roll3_std,orient_rest_b_roll3_std,source_user,source_recording
right,11,soft,12.576,1.1679999999999993,0.0273972602739726,14568.0,0.755373070101556,34255.16803345153,773.4375,0.20006134448019586,0.22078576225654803,0.4924445936870383,0.14810289610919775,0.43436175778936653,0.3409667021859328,5956.0,4700.621621621622,-56.19999999999999,678.777027027027,0.14440154551151946,12.0,-0.43661971830985913,11.56338028169014,0.5112998175721264,-1.475510448039301,11037062.538782816,8841663.0,2269975.0,6203947.0,3943504.385200989,1385302.1799743334,1987275.1645919345,5.465416245771036,2.73075868146735,0.9881632223888478,0.9957255307821075,0.9452846423581178,0.0648994162378173,31.572260017175616,0.38461538461538464,0.3030154847767051,0.08061038505545558,0.09089942100814728,0.062119443661850356,0.0988512157678973,0.08259402149226956,0.08743811916767764,0.1049228681657975,0.07039321998815568,0.07457898035337476,0.09609424860426741,0.07770967612104207,0.07378840061406484,4.224539569393649,0.19922374077069427,0.5479938947171273,0.0958904109589041,0.5153550951957252,0.11758581714773617,0.0006565320737043456,1471.845553491719,217.4907954230474,0.1153776408148475,1.387628121158012,1.2727175289375736,Catherine,REC_20260519_154549_new.csv
right,12,soft,13.76,0.9600000000000009,1.0,15788.0,0.865178261066755,36391.18916715968,520.8333333333333,0.13472144409440795,0.215312604480107,0.5048478769642261,0.14235580648732427,0.4472600464961807,0.3182842008859565,5982.0,4442.459016393443,-1.8999999999999773,611.4262295081967,0.13763238495885455,0.26666666666666666,0.0,0.26666666666666666,0.7367317367517563,-1.2295096107143997,11456882.145677635,9093339.0,1563815.0,6791599.0,4515509.216378717,1300411.0532861657,2255279.5309549943,2.7434496491806475,2.1306617392973948,0.9908088906829589,0.9945182655943808,0.9559225109648063,0.05302692266254284,31.73571586068902,0.6923076923076923,0.3516511386686012,0.08063397173327429,0.09119155688401787,0.053935569578213216,0.10065685080630281,0.08142735894313442,0.09237979261227351,0.10535075095021956,0.068917672238828,0.08160448725045204,0.09122107826857079,0.07343813424849625,0.0792427764862172,4.532570853261915,0.2959266478193821,0.5223955819460119,0.08333333333333333,0.49145176059044726,0.10387251081341195,0.0005609060086606977,1405.9321937182265,206.3107111123312,0.12496399481450608,1.6386684617285083,0.8186679852366276,Catherine,REC_20260519_154549_new.csv
right,13,soft,14.736,1.0399999999999991,0.0,10452.0,0.3849155569763435,31430.37136274403,625.0,0.16166573291328956,0.21119511018175968,0.49010776902042785,0.10653092637349283,0.47946342978275247,0.22218780360728052,6217.0,4488.666666666667,54.69999999999999,459.3030303030303,0.10232504759461539,0.0,-2.0615384615384613,-2.0615384615384613,1.7313237219431958,1.4500688031697582,10427679.045894632,7652919.0,2091602.0,6767165.0,3896990.3421388003,1546983.428267211,1910228.2524892222,7.293414227581981,6.92118325349972,0.995047349194933,0.9902908398716754,0.975359674138991,0.04983934193032665,38.59608329580115,0.5,0.2293244666407164,0.09138841256767885,0.10193348905661397,0.05943251016026895,0.10460013772058922,0.08948800345651674,0.09598922538919569,0.10012421857067631,0.05444013880075071,0.0874525741598369,0.07810580181737169,0.05209078757274212,0.08495470072775879,4.24878504338517,0.17256710366915035,0.5502579149784742,0.06153846153846154,0.3771056667515859,0.06927703243213285,0.0062678692043330415,2795.912254226399,126.9470039478773,0.1049190163888313,1.6209319161330085,0.8481723369855414,Catherine,REC_20260519_154549_new.csv
left,11,soft,12.032,1.1199999999999992,1.0,14477.0,0.7471826829066108,35244.4960951352,437.5,0.1131660130393027,0.20352839931153185,0.53184165232358,0.10718407976489656,0.46080927316038933,0.23259965892119205,4648.0,3441.0985915492956,65.30000000000001,355.9577464788732,0.10344305372506324,0.9142857142857143,0.0,0.9142857142857143,1.0472729239369674,-0.5586508481652452,10332527.7856721,9191078.0,1849699.0,4343251.0,4316788.095502441,634051.0361994721,1351216.869927604,12.757024153878483,9.164364877301153,0.9790398612230121,0.9882733718487255,0.9053433340665741,0.07795907133311177,27.284093856191703,0.46153846153846156,0.3608639060667585,0.10253440188606652,0.08062443209260063,0.06094516163360866,0.11011468659697608,0.08130387445869729,0.10859617383901309,0.1099141283081885,0.05441678468225837,0.08017010617310227,0.08006368748925581,0.0527672950826382,0.0785492677575946,4.591748492765786,0.2243398891977274,0.553025848409133,0.11428571428571428,0.4806271345619493,0.2281516866431957,0.0039775490250267284,20890.762910913523,578.9767874192978,0.08210562303114922,1.4231940047013316,0.5955696632021623,Catherine,REC_20260519_154549_new.csv
left,12,soft,13.168,1.040000000000001,0.015384615384615385,43019.0,3.3160841259629312,44723.33611214619,2569.444444444445,0.6646257908657461,0.2074652777777778,0.521484375,0.12295960809686662,0.4471439134855347,0.2749888892332212,4608.0,3278.4848484848485,-58.400000000000006,389.04545454545456,0.11866623532674,2.0,-0.8125,1.1875,0.7313116349725531,-1.1561796141355722,6781120.897796323,6174625.0,1685988.0,2239431.0,4177302.2564191106,695059.102243029,1354502.2459110543,1.148591196549249,2.435258212070181,0.9771564695533362,0.9899811156039844,0.8977121165508232,0.07282034249148071,27.88827565347215,0.6153846153846154,0.2962759645096482,0.09910805065163139,0.07546446067104169,0.05946020889176449,0.10855439504575283,0.07698493391256124,0.10499584065070709,0.11567150383584435,0.06390146963675016,0.08114428320547185,0.08452259913115816,0.05905813846011646,0.0711341159072003,3.8273768250990052,0.1094170106572715,0.45587254270404554,0.09230769230769231,0.521066050484495,0.1413010147252021,0.003306913593048863,15712.259746240623,1165.4328241882818,0.07999999999999917,4.5955612474951595,2.779564597534449,Catherine,REC_20260519_154549_new.csv
left,13,soft,14.224,0.9759999999999991,0.01639344262295082,13194.0,0.6317072238833727,34754.073804375796,1136.1607142857142,0.2938852073316585,0.19716157205240176,0.5277292576419214,0.09818916765081469,0.46921296963063247,0.20926354130417057,4580.0,3359.7096774193546,-48.10000000000002,317.43548387096774,0.09448301024474082,1.0,-4.35,-3.3499999999999996,1.1333551706375171,-0.10990407243780131,10542966.881560855,9326690.0,2730567.0,4087910.0,4085149.1427855557,657702.1974621414,1333271.77232557,2.086470923144994,2.2762926564401056,0.9887913616062971,0.9857451428656707,0.9462986529156666,0.06105965352051173,39.21821435599398,0.625,0.39047746948453,0.10234179220554772,0.08094017340207968,0.060729133661702725,0.11323463048842547,0.08241399506485776,0.11046941459995584,0.11144396117176024,0.051386928594060556,0.08215475607531372,0.07955276473581627,0.04680223905675414,0.07853021094372593,3.5259153307384596,0.22436624533896368,0.44570776613983115,0.06557377049180328,0.3765057436272089,0.10634706547573464,0.004328921636063033,16861.309152415583,1086.8621622988421,0.0721479960451663,3.1604024764797387,2.184351144937733,Catherine,REC_20260519_154549_new.csv
right,26,soft,27.184,1.1039999999999992,1.0,10748.0,0.4421029395280302,32157.391218816243,398.4375,0.10481661223295038,0.20312774556316993,0.4688104023897382,0.1403816290214008,0.4350044321218867,0.32271310050006824,5691.0,4286.885714285714,31.5,585.3071428571428,0.13653434727841057,0.043478260869565216,0.0,0.043478260869565216,0.8159732512678801,-1.1359308064653604,11028367.891274076,8412836.0,1696983.0,6925990.0,4023112.967945265,1316192.2082150388,1893439.0922501925,7.155809757675034,3.8569989128223767,0.9852725623698547,0.9945453913485145,0.9312087254674712,0.0653422686451039,31.71465081941088,0.7692307692307693,0.31426043356924793,0.09180823908131777,0.08987876647049807,0.0566645117001353,0.10208542998247146,0.08142107823861479,0.08797928566191908,0.10546117394578816,0.06804140201678209,0.07363987176838331,0.09085849867702828,0.07234022700461874,0.07982151545244301,3.611527852074849,0.09865460387936031,0.45484159128559837,0.08695652173913043,0.4972042905798683,0.09445403678843499,0.001677481402696912,3198.664252465395,87.39815087643623,0.06974238309665039,1.9378683097831302,1.1943135689730313,Catherine,REC_20260520_190100_new.csv
right,27,soft,28.304,0.9760000000000026,1.0,9662.0,0.34092026743619,34836.1193447261,506.25,0.13317875436657226,0.2092143716692453,0.46948598934158503,0.14778250606073876,0.425453908529619,0.3473525641623405,5817.0,4051.7258064516127,25.69999999999999,579.6693548387096,0.14306727121457602,1.0655737704918034,0.0,1.0655737704918034,0.9055193908587997,-0.9264623371136613,11220143.471486183,8605869.0,1325577.0,7076262.0,4436113.531200782,1806448.83751937,2148044.058044753,5.522212585011328,2.142636673424377,0.9849854441883247,0.9943954221334774,0.9291905554872271,0.07863135570049229,30.527101708371866,0.5454545454545454,0.18952663873068615,0.08643071251995367,0.07997388607801535,0.056821665001373374,0.10154573718089066,0.07767299478119638,0.08931279781216288,0.11426035102525009,0.07430923501335551,0.07694849267735374,0.08931279781216288,0.07347327104738324,0.07993805905090225,3.271756168070195,0.20070438097506496,0.4587780988462154,0.06557377049180328,0.48906639930507967,0.16588906196466585,0.003136476554753255,3716.4486184169605,66.85425539275946,0.06974238309664915,1.6332321845640254,1.4309100794153096,Catherine,REC_20260520_190100_new.csv
right,28,soft,29.296,1.1039999999999992,1.0,13740.0,0.7208677230444076,34071.719798096485,335.9375,0.08837479070621307,0.22419928825622776,0.4711743772241993,0.15573196279057236,0.41306236822783704,0.37701803594120875,5620.0,4241.628571428571,-63.30000000000001,643.0142857142857,0.1515960850616677,0.927536231884058,0.0,0.927536231884058,0.6187736216558389,-1.4177011542915292,11326410.086883707,8741481.0,1464854.0,7051828.0,4285918.38032133,1474013.0750103327,1924308.4272897777,6.677488712603573,11.175214414501056,0.9846185401862755,0.9954684609622132,0.9298905739075233,0.06971731483254935,35.16239878978337,0.5384615384615385,0.3043084703995403,0.08711950261691938,0.08212815832193833,0.06352344449908054,0.09748614076803384,0.07533157749381976,0.08544898522804582,0.11250058939625616,0.07598159736489354,0.07266750641599926,0.09450884767979954,0.07975036542567882,0.07355328478953502,4.587395600288907,0.2340285142443666,0.568364661149116,0.10144927536231885,0.5530234017458996,0.18809604127108628,0.0013165673550965,2111.932132747956,86.15502772376821,0.07390083445627006,0.5632800622017843,2.705813377293743,Catherine,REC_20260520_190100_new.csv
right,29,soft,30.416,0.9920000000000009,0.0,13639.0,0.7114575481997705,35069.35695161803,364.5833333333333,0.09591062557263434,0.2199582027168234,0.4726576105886451,0.14592835074297486,0.4348720023539797,0.3355662124785708,5742.0,4315.555555555556,45.80000000000001,609.7619047619048,0.14129395321465354,0.0,-0.0967741935483871,-0.0967741935483871,0.8365730585957344,-1.0136485390960035,12396681.218810016,9110444.0,1023810.0,8344419.0,4655564.785720791,1344564.0908195225,2382560.640415068,3.1347930273467153,4.08771729810519,0.9863531797694699,0.9944265329940787,0.9371846733558519,0.06718786561941055,32.903562667497575,0.8461538461538461,0.36496054641537323,0.0872333382374577,0.0854862439311461,0.052662939532146534,0.10254891864057672,0.08081506547006032,0.08970501691922908,0.10615712814476976,0.07131087244372517,0.07631675739296748,0.09078637634250404,0.07461747829924967,0.08235986464616743,4.693792650621669,0.20899437740535382,0.5730057371415226,0.0967741935483871,0.5025258363253009,0.16775007678689655,0.0013042431760469692,2325.826519755933,91.19244839719933,0.06974238309664915,1.2837628004953348,1.4005005752303876,Catherine,REC_20260520_190100_new.csv
